"","s1","s2","prob","pred_mean"
"1",7.08333333333333,6.83333333333333,0.0819141047418741,1.05247641509434
"2",7,5,0.0806924381013556,1.04009433962264
"3",-7,-2.66666666666667,0.0806924381013556,-1.04009433962264
"4",4.69230769230769,3.33333333333333,0.0520563977679493,0.697206095791002
"5",-4.86666666666667,-2.78571428571429,0.053890397889042,-0.72311320754717
"6",5,2,0.0553270921209907,0.742924528301887
"7",4.07692307692308,2.83333333333333,0.045976782625209,0.605769230769231
"8",4.54545454545455,2.3,0.0505504928601985,0.675385934819898
"9",4.21212121212121,2.51612903225806,0.0472610664764684,0.625857632933105
"10",5,1.91666666666667,0.0553270921209907,0.742924528301887
"11",4.46666666666667,2.21428571428571,0.0497569843441655,0.663679245283019
"12",-4.23529411764706,-2.46666666666667,0.0474840515584095,-0.62930077691454
"13",-4.11764705882353,-1.15151515151515,0.0463606455558274,-0.611820199778025
"14",4.15384615384615,2.33333333333333,0.046704013203662,0.617198838896953
"15",5,1.1875,0.0553270921209907,0.742924528301887
"16",4.25,1.72222222222222,0.047625997961193,0.631485849056604
"17",-4.41666666666667,-1.66666666666667,0.049258587249617,-0.65625
"18",-4.59375,-1.03448275862069,0.0510418607746998,-0.682561910377359
"19",4.6969696969697,0.870967741935484,0.0521047816736362,0.697898799313894
"20",-4.42857142857143,-0.962962962962963,0.0493768901528877,-0.658018867924529
"21",4.07692307692308,1.16666666666667,0.045976782625209,0.605769230769231
"22",4.21875,1.03448275862069,0.0473247672045272,0.626842570754717
"23",4.4,1,0.0490933435484189,0.653773584905661
"24",4.07692307692308,1.08333333333333,0.045976782625209,0.605769230769231
"25",-4.28571428571429,-0.307692307692308,0.04797214005498,-0.636792452830189
"26",4.53846153846154,0.615384615384615,0.0504796579242304,0.674346879535559
"27",4.61538461538462,0.272727272727273,0.0512632051485824,0.685776487663281
"28",4.17777777777778,0.471698113207547,0.0469321356141533,0.620754716981132
"29",4.7,0,0.0521362503636887,0.698349056603774
"30",4.58823529411765,0.225806451612903,0.0509855614902992,0.681742508324085
"31",-4.28571428571429,-0.416666666666667,0.04797214005498,-0.636792452830189
"32",4.08888888888889,0.254901960784314,0.0460893061328651,0.607547169811321
"33",4.325,1.05,0.0483552190418978,0.642629716981133
"34",-4.15,-1,0.0466674337895421,-0.616627358490567
"35",-4.25,-0.166666666666667,0.047625997961193,-0.631485849056604
"36",4.69230769230769,-0.5,0.0520563977679493,0.697206095791002
"37",-4,-0.0833333333333333,0.0452586776459371,-0.59433962264151
"38",4.25,0,0.047625997961193,0.631485849056604
"39",4.07142857142857,0.0769230769230769,0.045925187662001,0.60495283018868
"40",-4.21052631578947,-0.266666666666667,0.0472457502464501,-0.625620655412116
"41",4.46153846153846,-0.0833333333333333,0.0497056822663294,0.662917271407838
"42",-4.14285714285714,0.153846153846154,0.0465995615819682,-0.61556603773585
"43",4.07692307692308,0,0.045976782625209,0.605769230769231
"44",-4.11764705882353,0.1875,0.0463606455558274,-0.611820199778025
"45",-4.46153846153846,0.166666666666667,0.0497056822663294,-0.662917271407838
"46",4.05263157894737,-0.176470588235294,0.0457490303015051,0.602159880834161
"47",3.94444444444444,-0.5,0.0447456794558094,0.586084905660378
"48",4.20833333333333,-0.5,0.0472246969264122,0.625294811320755
"49",4.69230769230769,-0.923076923076923,0.0520563977679493,0.697206095791002
"50",4.31818181818182,-0.526315789473684,0.0482885593413529,0.641616638078903
"51",-4.22222222222222,0.5,0.0473581617022685,-0.627358490566038
"52",-4.10810810810811,0.529411764705882,0.0462705017464622,-0.610402855685875
"53",4.28571428571429,-0.846153846153846,0.04797214005498,0.636792452830189
"54",4.125,-0.666666666666667,0.0464302275924098,0.612912735849057
"55",4.21621621621622,-0.705882352941176,0.0473004101586625,0.62646608873024
"56",4.46153846153846,-1,0.0497056822663294,0.662917271407838
"57",4.16071428571429,-0.583333333333333,0.0467693908000975,0.618219339622642
"58",-4.05263157894737,0.466666666666667,0.0457490303015052,-0.602159880834161
"59",4.15384615384615,-0.916666666666667,0.046704013203662,0.617198838896953
"60",-4.25,0.933333333333333,0.047625997961193,-0.631485849056604
"61",4.45714285714286,-1.49315068493151,0.0496617426544834,0.662264150943397
"62",-4.14285714285714,1.53846153846154,0.0465995615819682,-0.61556603773585
"63",-4.17647058823529,1.25,0.0469196521170542,-0.620560488346282
"64",-4.13333333333333,1.35714285714286,0.046509188551775,-0.614150943396227
"65",3.92307692307692,-1.5,0.0445496235698976,0.582910014513788
"66",-4.07692307692308,1.58333333333333,0.045976782625209,-0.605769230769231
"67",-4.31944444444444,2.14035087719298,0.0483008981812426,-0.641804245283019
